Key Word,Definition
Depth-first search,"DFS expands the deepest node."
Depth-limited search,"DLS is a Depth-first search with a depth limit."
Iterative-deepening search,"IDS is a DLS with an increasing limit."
Uniform-cost search,"UCS expands the least cost node."
Heuristics,"A function that estimates how close a state is to a goal. It is designed for a particular search problem."
Greedy Best-First Search,"Also called Pure heuristic search, it expands the node that seems closest according to a heuristic, an estimate of distance to the nearest goal for each state."
A* Search,"It combines uniform cost search and greedy search."
Admissible,"A heuristic is admissible if it is optimistic, meaning 0 <= h(n) <= h*(n), where h(n) is the heuristic estimate and h*(n) is the true cost to reach the goal from n."
Syntax,"The arrangement of symbols into legal sentences or well-formed formulas."
Semantics,"The meaning of symbols in the world, mapping between symbols and worlds."
Knowledgebase,"A knowledgebase contains a set of propositional logic formulae that are known to be true, the premises."
Ethics,"There are many ethics involved with AI; it needs to ensure fairness, provide transparency, respect privacy, ensure safety, limit harmful uses of AI, promote collaboration, establish accountability, uphold human rights and values, reflect diversity/inclusion, avoid concentration of power, acknowledge legal/policy implications, and contemplate implications for employment."
Statistical parity,"Fairness metrics in AI - the proportion of positive decisions must be the same for different sub-groups."
Equality of false negatives,"Model mistakes must be made at the same rate for different sub-groups."
De-identification,"Eliminating personally identifying information (such as name and social security number) before releasing data to the public."
Data Swapping,"Interchange values between records. May cause error if not careful."
Randomization,"Add random noise to the data."
Generalization,"Replace the original value with a semantically consistent but less specific value."
Suppression,"Data not released at all. Downside is that it decreases the accuracy of the data."
Conditional Probability,"Probability of an event occurring given that another event has occurred (by assumption, presumption, assertion or evidence)."
Machine Learning,"Machine learning is a sub-field of study in Artificial Intelligence which uses computer systems to learn and adapt on their own with algorithms and models."
Supervised Learning,"Supervised learning deals with labeled data, a training set. It maps an input to an output based on example input-output pairs."
Unsupervised Learning,"Unsupervised learning deals with unlabeled data. Algorithms draw inferences from unlabeled data."
Semi-supervised Learning,"Semi-supervised Learning is a combination of unsupervised and supervised learning. It deals with both labeled and unlabeled data."
Reinforcement Learning,"In reinforcement learning, agents can observe the environment, select and perform actions, and get rewards or penalties in return."
Batch Learning,"Batch Learning, also known as offline learning, is a machine learning model which is used to train the system incrementally by feeding it data instances sequentially. It is trained with all available data (requires high computing resources and time)."
Instance-based Learning,"Instance-based learning compares all new data points to known data points and generalizes to new cases using a similarity measure."
Model-based Learning,"Model-based learning builds a model of the training data and uses the model to make predictions. The typical process involves a training phase, a prediction phase, and an evaluation phase."
Decision Tree,"A decision tree is a tree-like model of decisions used for classification and regression."
Clustering,"Clustering groups datapoints into subgroups for analysis."
Recommendation systems,"A recommendation system is a type of machine learning that predicts data and makes suggestions."
Artificial Neuron,"An artificial neuron is a mathematical function based on the concept of a biological neuron. It is an artificial unit of activating computation with input."
Artificial Neural Network,"A supervised learning system, an artificial neural network simulates the biological neural network. Each neuron makes a simple decision and feeds it to other neurons."
Convolutional Neural Network,"A type of neural network used to make predictions on the spatial information of input data."
Spatial Information,"Information on the topological, geometric, or geographic properties."
Convolution,"A convolution is a linear operation that involves the multiplication of a set of weights with the input, much like a traditional neural network (ANN)."
